ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
2940,23.566,0.2848,0.3478,0.2609,0.2391,crystalline,0,21.874,30.0
2941,30.375,0.3083,0.5667,0.0000,0.3667,crystalline,0,7.392,40.0
2942,23.214,0.2522,0.3111,0.2000,0.2444,crystalline,0,1.876,30.0
2943,27.952,0.2953,0.4688,0.0000,0.4375,crystalline,0,33.995,30.0
2944,23.830,0.3703,0.4865,0.2703,0.3514,crystalline,0,-3.167,30.0
2945,30.112,0.2677,0.5161,0.0000,0.2903,crystalline,0,4.583,40.0
2946,26.421,0.2730,0.4324,0.0000,0.4054,crystalline,0,29.676,30.0
2947,29.059,0.2037,0.2963,0.0000,0.3333,intermediate,0,2.869,30.0
2948,23.005,0.3683,0.4878,0.2927,0.3171,crystalline,0,4.310,30.0
2949,23.443,0.3122,0.3778,0.2667,0.2889,crystalline,0,16.915,30.0
2950,28.643,0.1047,0.2188,0.0000,0.0938,amorphous,0,0.969,30.0
2951,24.872,0.2155,0.2857,0.1667,0.1905,intermediate,0,7.995,30.0
2952,21.559,0.4141,0.5217,0.3261,0.3913,crystalline,0,-1.269,30.0
2953,29.910,0.1980,0.3600,0.0000,0.2400,intermediate,0,30.598,30.0
2954,31.316,0.2304,0.4348,0.0000,0.2609,intermediate,0,13.570,40.0
2955,29.842,0.2900,0.5200,0.0000,0.3600,crystalline,0,9.396,30.0
2956,29.821,0.2152,0.3913,0.0000,0.2609,intermediate,0,1.568,30.0
2957,14.462,0.3858,0.5094,0.3019,0.3396,crystalline,0,-9.186,20.0
2958,18.644,0.3882,0.5098,0.3137,0.3333,crystalline,0,-2.604,20.0
2959,23.305,0.2000,0.4000,0.0000,0.2000,intermediate,0,-8.646,30.0
2960,17.763,0.4213,0.5532,0.3404,0.3617,crystalline,0,-10.067,20.0
2961,22.747,0.3925,0.5000,0.3000,0.3750,crystalline,0,-9.878,30.0
2962,23.328,0.3057,0.4091,0.2500,0.2500,crystalline,0,-5.832,30.0
2963,12.662,0.3908,0.5102,0.3265,0.3265,crystalline,0,-8.636,20.0
2964,28.066,0.2500,0.4000,0.0000,0.3667,intermediate,0,23.856,30.0
2965,15.549,0.4557,0.5682,0.3636,0.4318,crystalline,0,-9.062,20.0
