ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
0,18.148,0.1628,0.2051,0.1282,0.1538,intermediate,0,44.802,20.0
1,16.135,0.1278,0.2222,0.0000,0.1667,intermediate,0,44.326,20.0
2,12.542,0.0797,0.1351,0.0000,0.1081,amorphous,0,42.831,20.0
3,18.517,0.1674,0.1739,0.1739,0.1522,intermediate,0,47.928,20.0
4,18.879,0.1387,0.2250,0.0000,0.2000,intermediate,0,41.929,20.0
5,20.672,0.1237,0.2250,0.0000,0.1500,intermediate,0,47.848,30.0
6,18.723,0.0929,0.1429,0.0000,0.1429,intermediate,0,45.577,20.0
7,15.540,0.1118,0.1842,0.0000,0.1579,intermediate,0,47.374,20.0
8,20.031,0.1269,0.2308,0.0000,0.1538,intermediate,0,43.737,30.0
9,14.832,0.1162,0.2059,0.0000,0.1471,intermediate,0,41.664,20.0
10,14.805,0.0828,0.0938,0.0625,0.0938,amorphous,0,38.351,20.0
11,11.487,0.1000,0.1667,0.0000,0.1389,intermediate,0,44.736,20.0
12,21.917,0.1682,0.1818,0.1818,0.1364,intermediate,0,48.540,30.0
13,18.560,0.0807,0.1136,0.0000,0.1364,amorphous,0,51.048,20.0
14,16.013,0.1230,0.1892,0.0000,0.1892,intermediate,0,38.984,20.0
15,19.626,0.1303,0.2368,0.0000,0.1579,intermediate,0,41.615,20.0
16,22.338,0.1354,0.2195,0.0000,0.1951,intermediate,0,47.746,30.0
17,22.241,0.1289,0.2105,0.0000,0.1842,intermediate,0,45.373,30.0
18,16.590,0.0793,0.1220,0.0000,0.1220,intermediate,0,50.555,20.0
19,18.394,0.1195,0.1951,0.0000,0.1707,intermediate,0,40.411,20.0
20,14.368,0.1338,0.2059,0.0000,0.2059,intermediate,0,41.021,20.0
21,9.241,0.1091,0.1818,0.0000,0.1515,intermediate,0,43.936,10.0
22,11.952,0.0819,0.1389,0.0000,0.1111,amorphous,0,47.516,20.0
23,22.927,0.1167,0.2000,0.0000,0.1556,intermediate,0,44.874,30.0
24,12.949,0.1419,0.2432,0.0000,0.1892,intermediate,0,43.826,20.0
25,14.525,0.1062,0.1750,0.0000,0.1500,intermediate,0,46.881,20.0
26,21.068,0.1221,0.2093,0.0000,0.1628,intermediate,0,47.270,30.0
27,15.860,0.0818,0.1364,0.0000,0.1136,amorphous,0,48.104,20.0
28,11.483,0.0920,0.1600,0.0000,0.1200,intermediate,0,38.446,20.0
29,21.545,0.0725,0.1000,0.0000,0.1250,amorphous,0,52.627,30.0
30,25.213,0.1179,0.2051,0.0000,0.1538,intermediate,0,48.317,30.0
31,20.276,0.1137,0.1750,0.0000,0.1750,intermediate,0,44.667,30.0
32,14.932,0.1031,0.1875,0.0000,0.1250,intermediate,0,43.755,20.0
33,13.005,0.0672,0.1034,0.0000,0.1034,amorphous,0,35.858,20.0
34,24.153,0.1366,0.2439,0.0000,0.1707,intermediate,0,45.350,30.0
35,25.516,0.0757,0.1429,0.0000,0.0857,amorphous,0,51.348,30.0
36,20.632,0.1354,0.2195,0.0000,0.1951,intermediate,0,41.677,30.0
37,22.582,0.1207,0.1220,0.0976,0.1463,intermediate,0,51.602,30.0
38,10.340,0.0000,0.0000,0.0000,0.0000,amorphous,0,34.476,20.0
39,12.141,0.0448,0.0690,0.0000,0.0690,amorphous,0,34.690,20.0
40,14.638,0.0605,0.1053,0.0000,0.0789,amorphous,0,50.932,20.0
41,8.023,0.0300,0.0000,0.0000,0.1000,amorphous,0,37.366,10.0
42,18.836,0.1603,0.1795,0.1026,0.2051,intermediate,0,39.514,20.0
43,21.253,0.1095,0.1905,0.0000,0.1429,intermediate,0,44.303,30.0
44,21.048,0.1453,0.2558,0.0000,0.1860,intermediate,0,41.747,30.0
45,12.153,0.0500,0.0769,0.0000,0.0769,amorphous,0,34.969,20.0
46,10.272,0.0882,0.0882,0.0882,0.0882,amorphous,0,47.041,20.0
47,20.028,0.1167,0.1905,0.0000,0.1667,intermediate,0,46.572,30.0
48,16.758,0.1485,0.2424,0.0000,0.2121,intermediate,0,40.111,20.0
49,25.092,0.2000,0.2500,0.1500,0.2000,intermediate,0,45.849,30.0
50,23.910,0.1305,0.1707,0.0976,0.1220,intermediate,0,51.165,30.0
51,18.699,0.0608,0.0811,0.0000,0.1081,amorphous,0,53.868,20.0
52,13.993,0.0663,0.0750,0.0500,0.0750,amorphous,0,50.658,20.0
53,27.706,0.1410,0.2051,0.0000,0.2308,intermediate,0,48.794,30.0
54,19.714,0.1400,0.2500,0.0000,0.1750,intermediate,0,41.254,20.0
55,23.278,0.1224,0.1316,0.1053,0.1316,intermediate,0,54.878,30.0
56,13.655,0.1603,0.2821,0.0000,0.2051,intermediate,0,45.902,20.0
57,9.135,0.0000,0.0000,0.0000,0.0000,amorphous,0,32.620,10.0
58,22.904,0.1389,0.2444,0.0000,0.1778,intermediate,0,42.301,30.0
59,14.045,0.0983,0.1667,0.0000,0.1333,intermediate,0,37.755,20.0
60,12.519,0.0909,0.1818,0.0000,0.0909,amorphous,0,39.414,20.0
61,24.263,0.1045,0.1818,0.0000,0.1364,intermediate,0,47.743,30.0
62,26.993,0.1194,0.1613,0.0968,0.0968,amorphous,0,54.932,30.0
63,18.059,0.1146,0.1220,0.1220,0.0976,intermediate,0,51.229,20.0
64,19.998,0.0707,0.0976,0.0000,0.1220,amorphous,0,48.860,20.0
65,16.393,0.1603,0.2821,0.0000,0.2051,intermediate,0,37.122,20.0
66,25.514,0.1409,0.1515,0.1212,0.1515,intermediate,0,55.573,30.0
67,23.524,0.1351,0.1622,0.1081,0.1351,intermediate,0,56.884,30.0
68,17.791,0.0634,0.0976,0.0000,0.0976,amorphous,0,54.037,20.0
69,16.179,0.0684,0.1053,0.0000,0.1053,amorphous,0,52.391,20.0
70,12.301,0.0590,0.1026,0.0000,0.0769,amorphous,0,50.182,20.0
71,27.227,0.1161,0.1290,0.0645,0.1613,intermediate,0,53.620,30.0
