ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
0,17.425,0.0819,0.0833,0.0556,0.1111,amorphous,0,44.083,20.0
1,19.267,0.0687,0.1250,0.0000,0.0833,amorphous,0,47.801,20.0
2,16.753,0.0500,0.0769,0.0000,0.0769,amorphous,0,40.455,20.0
3,12.025,0.0342,0.0000,0.0526,0.0526,amorphous,0,41.464,20.0
4,12.379,0.0390,0.0488,0.0000,0.0732,amorphous,0,45.004,20.0
5,21.133,0.0550,0.1000,0.0000,0.0667,amorphous,0,44.994,30.0
6,13.822,0.0616,0.0698,0.0465,0.0698,amorphous,0,41.191,20.0
7,18.459,0.0828,0.0938,0.0625,0.0938,amorphous,0,45.146,20.0
8,15.728,0.0575,0.0500,0.0500,0.0750,amorphous,0,42.423,20.0
9,21.564,0.0619,0.0952,0.0000,0.0952,amorphous,0,48.223,30.0
10,16.732,0.0952,0.1613,0.0000,0.1290,intermediate,0,48.409,20.0
11,13.255,0.0421,0.0526,0.0000,0.0789,amorphous,0,38.403,20.0
12,18.638,0.0867,0.1333,0.0000,0.1333,intermediate,0,50.820,20.0
13,21.474,0.0825,0.1500,0.0000,0.1000,amorphous,0,50.481,30.0
14,16.148,0.0179,0.0513,0.0000,0.0000,amorphous,0,39.183,20.0
15,13.850,0.0476,0.0476,0.0476,0.0476,amorphous,0,43.844,20.0
16,17.519,0.0378,0.1081,0.0000,0.0000,amorphous,0,41.551,20.0
17,21.877,0.0500,0.0769,0.0000,0.0769,amorphous,0,44.006,30.0
18,20.583,0.0241,0.0690,0.0000,0.0000,amorphous,0,42.314,30.0
19,16.485,0.0561,0.0976,0.0000,0.0732,amorphous,0,38.637,20.0
20,18.920,0.0591,0.0909,0.0000,0.0909,amorphous,0,46.811,20.0
21,15.497,0.0729,0.0857,0.0000,0.1429,amorphous,0,50.339,20.0
22,21.933,0.0687,0.1250,0.0000,0.0833,amorphous,0,43.705,30.0
23,11.247,0.0184,0.0526,0.0000,0.0000,amorphous,0,38.098,20.0
24,15.602,0.0453,0.0698,0.0000,0.0698,amorphous,0,47.046,20.0
25,15.339,0.0868,0.1471,0.0000,0.1176,amorphous,0,47.859,20.0
26,10.278,0.0412,0.0750,0.0000,0.0500,amorphous,0,45.173,20.0
27,11.408,0.0159,0.0455,0.0000,0.0000,amorphous,0,38.614,20.0
28,11.320,0.0231,0.0000,0.0000,0.0769,amorphous,0,35.123,20.0
29,8.496,0.0325,0.0500,0.0000,0.0500,amorphous,0,39.862,10.0
30,13.936,0.0184,0.0000,0.0526,0.0000,amorphous,0,42.703,20.0
31,15.269,0.0390,0.0488,0.0000,0.0732,amorphous,0,40.041,20.0
32,13.384,0.0453,0.0698,0.0000,0.0698,amorphous,0,36.080,20.0
33,19.815,0.1000,0.1333,0.0667,0.1000,amorphous,0,40.523,20.0
34,16.192,0.0805,0.1463,0.0000,0.0976,amorphous,0,38.666,20.0
35,18.224,0.0757,0.0857,0.0571,0.0857,amorphous,0,39.518,20.0
36,19.325,0.0985,0.2059,0.0000,0.0882,amorphous,0,40.209,20.0
37,20.770,0.0734,0.0625,0.0938,0.0625,amorphous,0,42.363,30.0
38,6.786,0.0361,0.0556,0.0000,0.0556,amorphous,0,42.197,10.0
39,19.211,0.0424,0.1212,0.0000,0.0000,amorphous,0,39.423,20.0
40,13.553,0.0763,0.1053,0.0000,0.1316,amorphous,0,50.429,20.0
41,18.345,0.0946,0.1071,0.0714,0.1071,amorphous,0,45.707,20.0
42,9.412,0.0200,0.0000,0.0571,0.0000,amorphous,0,41.573,10.0
43,22.157,0.0750,0.1154,0.0000,0.1154,amorphous,0,47.263,30.0
44,9.929,0.0421,0.0526,0.0000,0.0789,amorphous,0,35.036,10.0
45,21.633,0.1611,0.2222,0.0000,0.2778,intermediate,0,54.366,30.0
46,17.339,0.0609,0.0938,0.0000,0.0938,amorphous,0,51.673,20.0
47,19.635,0.0516,0.0645,0.0000,0.0968,amorphous,0,44.934,20.0
48,8.853,0.0434,0.0789,0.0000,0.0526,amorphous,0,33.057,10.0
49,21.221,0.0848,0.1304,0.0000,0.1304,intermediate,0,41.174,30.0
50,6.372,0.0175,0.0500,0.0000,0.0000,amorphous,0,37.315,10.0
51,15.483,0.0625,0.0833,0.0000,0.1111,amorphous,0,35.858,20.0
52,13.652,0.0973,0.1622,0.0000,0.1351,intermediate,0,48.102,20.0
53,7.884,0.0590,0.1026,0.0000,0.0769,amorphous,0,45.303,10.0
54,20.338,0.0589,0.1071,0.0000,0.0714,amorphous,0,43.706,30.0
55,17.191,0.0300,0.0857,0.0000,0.0000,amorphous,0,49.356,20.0
56,13.026,0.0489,0.0851,0.0000,0.0638,amorphous,0,35.149,20.0
