ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
751,10.702,0.1409,0.1515,0.1212,0.1515,intermediate,0,15.096,0.0
752,15.772,0.1902,0.2353,0.1569,0.1765,intermediate,0,18.524,0.0
753,10.134,0.2907,0.3721,0.2791,0.2093,crystalline,0,2.303,0.0
754,7.886,0.3256,0.4000,0.2444,0.3333,crystalline,0,0.532,0.0
755,9.265,0.3036,0.3810,0.2619,0.2619,crystalline,0,-1.028,0.0
756,10.754,0.2717,0.3478,0.2609,0.1957,crystalline,0,-1.977,0.0
757,10.149,0.2571,0.3571,0.2143,0.1905,crystalline,0,2.026,0.0
758,24.554,0.1179,0.1071,0.1071,0.1429,amorphous,0,29.599,0.0
759,10.512,0.3034,0.3636,0.2500,0.2955,crystalline,0,12.331,0.0
760,7.924,0.2512,0.4186,0.0000,0.3488,crystalline,0,9.897,0.0
761,8.634,0.2611,0.3333,0.2222,0.2222,crystalline,0,6.171,0.0
762,20.896,0.0882,0.0882,0.0882,0.0882,amorphous,0,25.768,0.0
763,7.480,0.3411,0.4667,0.2222,0.3333,crystalline,0,2.979,0.0
764,9.580,0.3156,0.4375,0.2500,0.2500,crystalline,0,0.309,0.0
765,6.429,0.2833,0.3778,0.2222,0.2444,crystalline,0,-0.423,0.0
766,17.379,0.1905,0.2143,0.1667,0.1905,intermediate,0,19.725,0.0
767,11.614,0.2250,0.3947,0.0000,0.2895,intermediate,0,-2.975,0.0
768,20.683,0.1707,0.1951,0.1463,0.1707,intermediate,0,25.056,0.0
769,4.675,0.2545,0.4773,0.2500,0.0000,intermediate,0,7.393,0.0
770,10.307,0.3283,0.4565,0.2391,0.2826,crystalline,0,2.903,0.0
771,24.977,0.1257,0.1351,0.1081,0.1351,intermediate,0,28.348,0.0
772,8.470,0.2948,0.4167,0.2292,0.2292,crystalline,0,-1.259,0.0
773,9.763,0.2933,0.4000,0.2667,0.2000,crystalline,0,-2.711,0.0
774,13.489,0.2651,0.3256,0.2326,0.2326,crystalline,0,-0.642,0.0
775,11.004,0.2926,0.3830,0.2340,0.2553,crystalline,0,13.317,0.0
776,14.465,0.1000,0.1500,0.0500,0.1000,amorphous,0,15.331,0.0
777,17.024,0.1684,0.2041,0.1020,0.2041,intermediate,0,14.999,0.0
778,13.475,0.2737,0.3421,0.2368,0.2368,crystalline,0,0.462,0.0
779,26.581,0.1433,0.1667,0.1000,0.1667,intermediate,0,33.181,0.0
780,11.833,0.2638,0.3404,0.2128,0.2340,crystalline,0,9.910,0.0
781,23.981,0.1443,0.1429,0.1714,0.1143,intermediate,0,29.291,0.0
782,22.170,0.1284,0.1364,0.1136,0.1364,intermediate,0,22.385,0.0
783,10.967,0.3000,0.3846,0.2308,0.2821,crystalline,0,1.875,0.0
784,19.518,0.0857,0.1143,0.0571,0.0857,amorphous,0,21.666,0.0
785,9.161,0.2161,0.2581,0.1935,0.1935,intermediate,0,7.582,0.0
786,8.440,0.2895,0.3953,0.2326,0.2326,crystalline,0,3.055,0.0
787,18.418,0.1405,0.1190,0.1190,0.1905,intermediate,0,21.709,0.0
788,9.902,0.1905,0.1905,0.1905,0.1905,intermediate,0,10.040,0.0
789,14.976,0.1912,0.2500,0.1250,0.2000,intermediate,0,14.025,0.0
790,14.546,0.1951,0.2683,0.1220,0.1951,intermediate,0,18.116,0.0
791,10.739,0.3272,0.4348,0.2391,0.3043,crystalline,0,0.798,0.0
792,14.430,0.3156,0.4375,0.2500,0.2500,crystalline,0,-3.063,0.0
793,17.863,0.1372,0.1395,0.0930,0.1860,intermediate,0,17.517,0.0
794,12.673,0.2250,0.2609,0.1957,0.2174,intermediate,0,9.558,0.0
795,13.326,0.2415,0.4390,0.0000,0.2927,intermediate,0,-3.139,0.0
796,14.597,0.1176,0.1176,0.1176,0.1176,amorphous,0,12.482,0.0
797,13.935,0.0786,0.0952,0.0476,0.0952,amorphous,0,13.680,0.0
798,4.801,0.2333,0.4286,0.2381,0.0000,intermediate,0,5.756,0.0
799,10.554,0.3034,0.4318,0.1818,0.2955,crystalline,0,3.071,0.0
800,14.617,0.2375,0.3333,0.1667,0.2083,intermediate,0,-1.145,0.0
801,14.289,0.2857,0.3714,0.2000,0.2857,crystalline,0,-2.308,0.0
802,16.022,0.1948,0.2500,0.1458,0.1875,intermediate,0,14.130,0.0
803,9.392,0.2927,0.3750,0.2292,0.2708,crystalline,0,1.917,0.0
804,14.700,0.2284,0.3182,0.1591,0.2045,intermediate,0,15.814,0.0
805,13.634,0.3349,0.4186,0.2791,0.3023,crystalline,0,14.325,0.0
806,12.735,0.3000,0.4074,0.2593,0.2222,crystalline,0,9.257,0.0
807,13.892,0.2791,0.3721,0.1860,0.2791,crystalline,0,9.223,0.0
808,21.888,0.0629,0.0000,0.0968,0.0968,amorphous,0,23.935,0.0
809,12.954,0.3359,0.4375,0.2812,0.2812,crystalline,0,-0.718,0.0
810,2.789,0.2279,0.3721,0.2791,0.0000,intermediate,0,1.104,0.0
811,3.300,0.2977,0.4186,0.2326,0.2326,crystalline,0,0.000,0.0
812,9.279,0.1273,0.2121,0.1515,0.0000,intermediate,0,12.581,0.0
