ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
294,5.796,0.0207,0.0000,0.0000,0.0690,amorphous,0,11.842,6.0
295,5.152,0.0265,0.0000,0.0000,0.0882,amorphous,0,21.222,6.0
296,5.963,0.1118,0.1842,0.0000,0.1579,intermediate,0,10.964,10.0
297,12.139,0.0929,0.1429,0.0000,0.1429,intermediate,0,26.875,20.0
298,7.921,0.0906,0.1250,0.0000,0.1562,intermediate,0,23.445,10.0
299,6.703,0.0421,0.0526,0.0000,0.0789,amorphous,0,19.480,10.0
300,8.538,0.0722,0.1111,0.0000,0.1111,amorphous,0,9.960,10.0
301,10.052,0.0722,0.1111,0.0000,0.1111,amorphous,0,26.744,10.0
302,12.148,0.1147,0.1765,0.0000,0.1765,intermediate,0,12.075,20.0
303,6.983,0.0500,0.0909,0.0000,0.0606,amorphous,0,14.674,10.0
304,12.264,0.1045,0.1818,0.0000,0.1364,intermediate,0,21.156,20.0
305,6.835,0.0350,0.1000,0.0000,0.0000,amorphous,0,13.450,10.0
306,6.071,0.1121,0.1724,0.0000,0.1724,intermediate,0,29.159,10.0
307,3.808,0.0682,0.0909,0.0000,0.1212,amorphous,0,9.001,6.0
308,7.850,0.0839,0.1290,0.0000,0.1290,intermediate,0,14.216,10.0
309,7.248,0.0000,0.0000,0.0000,0.0000,amorphous,0,8.051,10.0
310,11.925,0.1611,0.2222,0.0000,0.2778,intermediate,0,14.171,20.0
311,4.124,0.0825,0.1500,0.0000,0.1000,amorphous,0,25.377,6.0
312,3.212,0.1638,0.2750,0.0000,0.2250,intermediate,0,10.436,6.0
313,2.472,0.0845,0.1190,0.0000,0.1429,amorphous,0,24.495,6.0
314,8.163,0.1034,0.1379,0.0690,0.1034,amorphous,0,23.686,10.0
315,6.886,0.0269,0.0000,0.0769,0.0000,amorphous,0,9.147,10.0
316,9.765,0.1806,0.2778,0.0000,0.2778,intermediate,0,32.627,10.0
317,12.366,0.0868,0.1579,0.0000,0.1053,amorphous,0,24.629,20.0
318,7.686,0.0660,0.1200,0.0000,0.0800,amorphous,0,7.888,10.0
319,11.728,0.1895,0.3158,0.0000,0.2632,intermediate,0,11.993,20.0
320,7.165,0.0726,0.0968,0.0000,0.1290,amorphous,0,10.345,10.0
321,8.053,0.0635,0.1154,0.0000,0.0769,amorphous,0,9.850,10.0
322,8.282,0.0848,0.1304,0.0000,0.1304,intermediate,0,27.717,10.0
323,9.132,0.0464,0.0714,0.0000,0.0714,amorphous,0,11.315,10.0
324,7.075,0.0635,0.1154,0.0000,0.0769,amorphous,0,9.268,10.0
325,12.181,0.0565,0.0870,0.0000,0.0870,amorphous,0,17.528,20.0
326,11.953,0.0848,0.1304,0.0000,0.1304,intermediate,0,10.909,20.0
327,3.123,0.0639,0.1111,0.0000,0.0833,amorphous,0,15.904,6.0
328,8.655,0.1074,0.1176,0.0882,0.1176,amorphous,0,15.405,10.0
329,11.548,0.0591,0.0909,0.0000,0.0909,amorphous,0,13.690,20.0
330,10.881,0.1650,0.3000,0.0000,0.2000,intermediate,0,30.742,20.0
331,12.325,0.0175,0.0000,0.0500,0.0000,amorphous,0,14.717,20.0
332,4.563,0.0214,0.0000,0.0000,0.0714,amorphous,0,10.103,6.0
333,4.269,0.0394,0.0606,0.0000,0.0606,amorphous,0,14.023,6.0
334,10.148,0.1587,0.2174,0.0870,0.1739,intermediate,0,21.705,20.0
335,8.833,0.1333,0.2222,0.0000,0.1852,intermediate,0,11.538,10.0
336,11.307,0.0750,0.1364,0.0000,0.0909,amorphous,0,10.002,20.0
337,12.514,0.0825,0.1500,0.0000,0.1000,amorphous,0,12.394,20.0
338,8.861,0.2152,0.3913,0.0000,0.2609,intermediate,0,11.159,10.0
339,8.652,0.0589,0.1071,0.0000,0.0714,amorphous,0,12.093,10.0
340,9.455,0.0477,0.1364,0.0000,0.0000,amorphous,0,10.148,10.0
341,7.794,0.1265,0.2353,0.0000,0.1471,intermediate,0,26.267,10.0
342,9.956,0.0865,0.1154,0.0000,0.1538,amorphous,0,15.331,10.0
343,10.823,0.1154,0.1538,0.0769,0.1154,amorphous,0,16.268,20.0
344,5.041,0.0500,0.0909,0.0000,0.0606,amorphous,0,16.632,6.0
345,6.602,0.0433,0.0667,0.0000,0.0667,amorphous,0,16.350,10.0
346,8.144,0.0743,0.1143,0.0000,0.1143,amorphous,0,18.647,10.0
347,3.654,0.0214,0.0000,0.0000,0.0714,amorphous,0,8.884,6.0
348,9.240,0.1054,0.1786,0.0000,0.1429,intermediate,0,15.851,10.0
349,7.846,0.0592,0.0789,0.0000,0.1053,amorphous,0,19.358,10.0
350,11.503,0.0868,0.1579,0.0000,0.1053,amorphous,0,9.343,20.0
