ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,com_registry,pair_corr,hotspot,phase,domain,axial_A,shell_bfac
226,12.480,0.0437,0.0000,0.1250,0.0000,0.0000,0.0000,0,amorphous,0,6.135,24.0
227,16.684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,intermediate,0,-34.032,24.0
228,11.588,0.0318,0.0000,0.0909,0.0000,0.3000,0.8900,1,amorphous,0,4.520,24.0
229,13.546,0.0350,0.0000,0.1000,0.0000,0.0000,0.0000,0,amorphous,0,36.424,24.0
230,13.580,0.0437,0.0000,0.1250,0.0000,0.0000,0.0000,0,amorphous,0,51.801,24.0
231,10.642,0.0233,0.0000,0.0667,0.0000,0.1429,0.3333,0,amorphous,0,-32.189,24.0
232,8.999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-7.069,24.0
233,15.090,0.0000,0.0000,0.0000,0.0000,0.4000,1.0000,0,intermediate,0,-2.415,24.0
234,12.647,0.0318,0.0000,0.0909,0.0000,0.2000,0.6667,1,amorphous,0,41.211,24.0
235,13.551,0.0000,0.0000,0.0000,0.0000,0.2500,0.6400,0,amorphous,0,44.128,24.0
236,13.542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-6.460,24.0
237,15.620,0.0437,0.0000,0.1250,0.0000,0.0000,0.0000,0,intermediate,0,49.048,24.0
238,12.452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,39.986,24.0
239,15.973,0.0000,0.0000,0.0000,0.0000,0.1667,0.2000,0,intermediate,0,-21.334,24.0
240,15.139,0.0000,0.0000,0.0000,0.0000,0.1667,0.2000,0,intermediate,0,-33.508,24.0
241,12.250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,3.487,24.0
242,14.453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,intermediate,0,37.040,24.0
243,12.579,0.0292,0.0000,0.0833,0.0000,0.0000,0.0000,0,amorphous,0,39.188,24.0
244,7.915,0.0318,0.0000,0.0909,0.0000,0.0000,0.0000,0,amorphous,0,-32.030,24.0
245,12.952,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,-20.565,24.0
246,14.170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,intermediate,0,50.526,24.0
247,10.208,0.0437,0.0000,0.1250,0.0000,0.0000,0.0000,0,amorphous,0,-24.866,24.0
248,11.553,0.0437,0.1250,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-36.550,24.0
249,12.373,0.0000,0.0000,0.0000,0.0000,0.1667,0.5000,0,amorphous,0,41.514,24.0
250,10.914,0.0269,0.0000,0.0769,0.0000,0.0000,0.0000,0,amorphous,0,27.894,24.0
251,15.195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,intermediate,0,-37.625,24.0
252,14.877,0.0389,0.0000,0.1111,0.0000,0.1250,0.3333,1,intermediate,0,44.007,24.0
