ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
0,17.332,0.0903,0.1389,0.0000,0.1389,intermediate,0,43.500,20.0
1,19.094,0.1154,0.1538,0.0769,0.1154,amorphous,0,47.584,20.0
2,16.434,0.1179,0.2051,0.0000,0.1538,intermediate,0,40.065,20.0
3,12.489,0.0951,0.1463,0.0000,0.1463,intermediate,0,41.381,20.0
4,12.240,0.0650,0.1000,0.0000,0.1000,amorphous,0,44.741,20.0
5,20.988,0.0767,0.1333,0.0000,0.1000,amorphous,0,44.978,30.0
6,14.059,0.0987,0.1750,0.0000,0.1250,intermediate,0,41.142,20.0
7,18.102,0.1485,0.1765,0.1471,0.1176,intermediate,0,44.813,20.0
8,15.454,0.0878,0.1463,0.0000,0.1220,intermediate,0,41.857,20.0
9,21.469,0.0886,0.1364,0.0000,0.1364,intermediate,0,48.153,30.0
10,16.577,0.1031,0.1875,0.0000,0.1250,intermediate,0,48.266,20.0
11,13.349,0.1179,0.2051,0.0000,0.1538,intermediate,0,38.413,20.0
12,18.629,0.1183,0.1667,0.0000,0.2000,intermediate,0,50.819,20.0
13,21.399,0.0975,0.1500,0.0000,0.1500,intermediate,0,50.329,30.0
14,16.013,0.1137,0.1750,0.0000,0.1750,intermediate,0,38.984,20.0
15,13.434,0.0443,0.0682,0.0000,0.0682,amorphous,0,43.429,20.0
16,17.399,0.1036,0.2143,0.0000,0.0952,amorphous,0,41.377,20.0
17,21.816,0.1093,0.1852,0.0000,0.1481,intermediate,0,43.962,30.0
18,20.643,0.0897,0.1379,0.0000,0.1379,intermediate,0,42.387,30.0
19,16.627,0.1453,0.2558,0.0000,0.1860,intermediate,0,38.802,20.0
20,18.552,0.0879,0.1212,0.0000,0.1515,intermediate,0,46.438,20.0
21,15.260,0.0929,0.1429,0.0000,0.1429,intermediate,0,50.094,20.0
22,21.913,0.1609,0.2174,0.1304,0.1304,intermediate,0,43.700,30.0
23,11.550,0.0987,0.1750,0.0000,0.1250,intermediate,0,37.937,20.0
24,15.514,0.0670,0.1136,0.0000,0.0909,amorphous,0,46.928,20.0
25,15.232,0.0952,0.1613,0.0000,0.1290,intermediate,0,47.698,20.0
26,10.246,0.1115,0.1282,0.1026,0.1026,amorphous,0,45.097,20.0
27,11.483,0.0951,0.1463,0.0000,0.1463,intermediate,0,38.446,20.0
28,11.472,0.1598,0.2683,0.0000,0.2195,intermediate,0,35.364,20.0
29,8.495,0.0583,0.1667,0.0000,0.0000,amorphous,0,39.701,10.0
30,13.834,0.0986,0.1892,0.0000,0.1081,amorphous,0,42.490,20.0
31,15.179,0.0963,0.1707,0.0000,0.1220,intermediate,0,39.901,20.0
32,13.005,0.1378,0.2683,0.0000,0.1463,intermediate,0,35.858,20.0
33,19.652,0.1138,0.2069,0.0000,0.1379,intermediate,0,40.412,20.0
34,16.300,0.1878,0.2195,0.1707,0.1707,intermediate,0,38.642,20.0
35,18.218,0.1303,0.2368,0.0000,0.1579,intermediate,0,39.461,20.0
36,19.410,0.1797,0.2500,0.1562,0.1250,intermediate,0,40.137,20.0
37,20.801,0.1419,0.1935,0.1290,0.0968,intermediate,0,42.428,30.0
38,6.989,0.0684,0.1053,0.0000,0.1053,amorphous,0,42.436,10.0
39,19.148,0.1162,0.2059,0.0000,0.1471,intermediate,0,39.356,20.0
40,13.375,0.1486,0.1944,0.1111,0.1389,intermediate,0,50.208,20.0
41,18.528,0.0750,0.1154,0.0000,0.1154,amorphous,0,45.789,20.0
42,9.859,0.0527,0.0811,0.0000,0.0811,amorphous,0,41.484,10.0
43,22.092,0.1154,0.1538,0.0769,0.1154,amorphous,0,47.196,30.0
44,9.729,0.0912,0.1750,0.0000,0.1000,amorphous,0,34.811,10.0
45,21.604,0.2000,0.3333,0.0000,0.2778,intermediate,0,54.332,30.0
46,17.277,0.0985,0.1515,0.0000,0.1515,intermediate,0,51.550,20.0
47,19.434,0.0609,0.0938,0.0000,0.0938,amorphous,0,44.816,20.0
48,8.908,0.0975,0.1500,0.0000,0.1500,intermediate,0,33.123,10.0
49,21.133,0.1115,0.1538,0.0000,0.1923,intermediate,0,41.075,30.0
50,6.024,0.0797,0.1351,0.0000,0.1081,amorphous,0,37.865,10.0
51,15.286,0.1412,0.2750,0.0000,0.1500,intermediate,0,35.682,20.0
52,13.558,0.1211,0.2105,0.0000,0.1579,intermediate,0,47.998,20.0
53,7.796,0.1118,0.1842,0.0000,0.1579,intermediate,0,45.210,10.0
54,20.148,0.1100,0.2000,0.0000,0.1333,intermediate,0,43.522,30.0
55,17.007,0.1208,0.1667,0.0833,0.1111,amorphous,0,49.103,20.0
56,13.439,0.1094,0.1875,0.0000,0.1458,intermediate,0,35.129,20.0
57,11.910,0.0987,0.1750,0.0000,0.1250,intermediate,0,41.014,20.0
58,11.841,0.1058,0.1628,0.0000,0.1628,intermediate,0,34.390,20.0
59,22.442,0.1472,0.1667,0.1111,0.1667,intermediate,0,53.563,30.0
60,12.351,0.1163,0.2326,0.0000,0.1163,amorphous,0,36.337,20.0
61,15.535,0.1000,0.2000,0.0000,0.1000,amorphous,0,40.085,20.0
62,14.203,0.1419,0.1860,0.0000,0.2558,intermediate,0,34.959,20.0
63,16.150,0.1037,0.1707,0.0000,0.1463,intermediate,0,38.554,20.0
64,13.849,0.1087,0.1500,0.0750,0.1000,amorphous,0,46.551,20.0
65,17.186,0.2162,0.2500,0.1750,0.2250,intermediate,0,36.176,20.0
66,15.991,0.0607,0.0714,0.0000,0.1190,amorphous,0,42.039,20.0
67,16.299,0.1015,0.1212,0.0909,0.0909,amorphous,0,44.764,20.0
68,21.176,0.1529,0.2353,0.0000,0.2353,intermediate,0,51.588,30.0
69,11.665,0.1360,0.2093,0.0000,0.2093,intermediate,0,32.738,20.0
70,16.965,0.2100,0.2571,0.1714,0.2000,intermediate,0,36.412,20.0
71,15.342,0.1278,0.2222,0.0000,0.1667,intermediate,0,51.871,20.0
72,20.054,0.2150,0.4000,0.0000,0.2500,intermediate,0,54.822,30.0
73,13.252,0.1109,0.1562,0.0000,0.1875,intermediate,0,50.084,20.0
74,11.423,0.1026,0.2051,0.0000,0.1026,amorphous,0,36.466,20.0
75,15.150,0.1261,0.2045,0.0000,0.1818,intermediate,0,35.963,20.0
76,18.141,0.1125,0.1875,0.0000,0.1562,intermediate,0,37.747,20.0
77,7.633,0.1269,0.2308,0.0000,0.1538,intermediate,0,31.690,10.0
78,10.492,0.0575,0.1000,0.0000,0.0750,amorphous,0,43.966,20.0
79,13.697,0.1375,0.2500,0.0000,0.1667,intermediate,0,51.538,20.0
80,19.135,0.1091,0.1818,0.0000,0.1515,intermediate,0,37.362,20.0
81,4.045,0.0575,0.1000,0.0000,0.0750,amorphous,0,37.390,6.0
82,20.457,0.1019,0.1154,0.0769,0.1154,amorphous,0,49.672,30.0
83,3.489,0.0671,0.0857,0.0571,0.0571,amorphous,0,39.630,6.0
84,12.439,0.1243,0.2162,0.0000,0.1622,intermediate,0,49.217,20.0
85,22.016,0.1353,0.2353,0.0000,0.1765,intermediate,0,57.566,30.0
86,6.197,0.1026,0.1579,0.0000,0.1579,intermediate,0,30.134,10.0
87,12.956,0.0890,0.1707,0.0000,0.0976,amorphous,0,37.578,20.0
88,11.237,0.1167,0.2000,0.0000,0.1556,intermediate,0,33.563,20.0
89,18.714,0.1274,0.2258,0.0000,0.1613,intermediate,0,39.954,20.0
90,9.144,0.1193,0.2045,0.0000,0.1591,intermediate,0,31.300,10.0
91,17.063,0.1081,0.1351,0.0811,0.1081,amorphous,0,46.469,20.0
92,20.015,0.0722,0.1111,0.0000,0.1111,amorphous,0,46.146,30.0
93,21.412,0.0821,0.1429,0.0000,0.1071,amorphous,0,43.306,30.0
94,9.129,0.1192,0.2308,0.0000,0.1282,intermediate,0,46.541,10.0
95,7.343,0.0389,0.1111,0.0000,0.0000,amorphous,0,34.422,10.0
96,20.583,0.1571,0.2857,0.0000,0.1905,intermediate,0,56.998,30.0
97,19.761,0.1800,0.3000,0.0000,0.2500,intermediate,0,51.889,20.0
98,10.874,0.1366,0.2439,0.0000,0.1707,intermediate,0,34.843,20.0
99,7.999,0.0744,0.1026,0.0000,0.1282,amorphous,0,32.892,10.0
100,14.402,0.1479,0.2766,0.0000,0.1702,intermediate,0,32.557,20.0
101,21.892,0.1852,0.2222,0.1481,0.1852,intermediate,0,39.852,30.0
102,11.440,0.1478,0.2000,0.0889,0.1556,intermediate,0,46.662,20.0
103,19.321,0.2283,0.3913,0.0000,0.3043,intermediate,0,54.065,20.0
104,13.952,0.1303,0.2424,0.0000,0.1515,intermediate,0,47.430,20.0
105,9.905,0.0616,0.1163,0.0000,0.0698,amorphous,0,40.457,10.0
106,13.360,0.1163,0.2391,0.0000,0.1087,amorphous,0,32.081,20.0
107,22.092,0.1054,0.1786,0.0000,0.1429,intermediate,0,38.857,30.0
108,5.933,0.0803,0.1515,0.0000,0.0909,amorphous,0,37.379,6.0
109,5.499,0.0575,0.1000,0.0000,0.0750,amorphous,0,43.910,6.0
110,6.633,0.1095,0.1905,0.0000,0.1429,intermediate,0,29.223,10.0
111,13.330,0.1207,0.2195,0.0000,0.1463,intermediate,0,31.970,20.0
112,21.110,0.1250,0.2500,0.0000,0.1250,intermediate,0,37.544,30.0
113,8.086,0.1841,0.3171,0.0000,0.2439,intermediate,0,29.136,10.0
114,20.015,0.1016,0.1562,0.0000,0.1562,intermediate,0,39.483,30.0
115,22.248,0.1720,0.2000,0.1200,0.2000,intermediate,0,40.031,30.0
116,13.465,0.1162,0.2250,0.0000,0.1250,intermediate,0,35.556,20.0
117,19.812,0.2017,0.2667,0.1667,0.1667,intermediate,0,36.905,20.0
118,19.785,0.1054,0.1786,0.0000,0.1429,intermediate,0,55.852,20.0
119,10.122,0.1686,0.3023,0.0000,0.2093,intermediate,0,29.612,20.0
120,18.242,0.1162,0.2059,0.0000,0.1471,intermediate,0,34.738,20.0
121,16.975,0.1462,0.2250,0.0000,0.2250,intermediate,0,36.226,20.0
122,5.795,0.0471,0.0857,0.0000,0.0571,amorphous,0,33.720,6.0
