ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,com_registry,pair_corr,hotspot,phase,domain,axial_A,shell_bfac,strand_id,seq_next_d,hit_384,hit_629,p_bound
47,6.708,0.0000,0.0000,0.0000,0.0000,0.4000,0.8067,1,amorphous,0,-3.337,20.0,-1,,0,1,1
48,9.175,0.0000,0.0000,0.0000,0.0000,0.3333,1.1400,0,amorphous,0,-4.504,20.0,-1,,0,0,0
49,8.634,0.0000,0.0000,0.0000,0.0000,0.2500,0.5000,0,amorphous,0,3.791,20.0,-1,,0,0,0
50,6.941,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0,amorphous,0,-1.253,20.0,-1,,0,1,1
51,7.787,0.0389,0.0000,0.1111,0.0000,0.1250,0.2500,1,amorphous,0,3.575,20.0,-1,,0,0,1
52,7.513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-11.312,20.0,-1,,0,0,1
53,7.921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-11.715,20.0,-1,,0,0,1
54,7.367,0.0000,0.0000,0.0000,0.0000,0.4000,0.5400,1,amorphous,0,-15.876,20.0,-1,,1,1,1
55,7.985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-18.186,20.0,-1,,0,0,1
56,6.264,0.0389,0.0000,0.1111,0.0000,0.4286,0.8900,1,amorphous,0,-14.611,20.0,-1,,1,1,1
57,3.977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-23.564,20.0,-1,,0,0,1
58,7.116,0.0437,0.0000,0.1250,0.0000,0.2857,0.4000,1,intermediate,0,-23.710,20.0,-1,,0,1,1
59,9.635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-21.052,20.0,-1,,0,0,0
60,7.508,0.0000,0.0000,0.0000,0.0000,0.1429,0.5000,0,amorphous,0,-30.828,20.0,-1,,0,0,1
61,8.415,0.0000,0.0000,0.0000,0.0000,0.5000,0.8900,0,amorphous,0,-29.222,20.0,-1,,0,0,0
62,9.893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-35.138,20.0,-1,,0,0,0
63,8.157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-24.791,20.0,-1,,0,0,0
64,6.525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-28.992,20.0,-1,,0,0,1
65,11.008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-24.118,20.0,-1,,0,0,0
66,9.099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,30.323,20.0,-1,,0,0,0
67,8.654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,28.431,20.0,-1,,0,0,0
68,5.129,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0,amorphous,0,27.813,20.0,-1,,0,1,1
69,8.890,0.0000,0.0000,0.0000,0.0000,0.2000,0.2000,0,amorphous,0,17.022,20.0,-1,,0,0,0
70,8.536,0.0350,0.0000,0.1000,0.0000,0.3333,0.7500,1,amorphous,0,16.235,20.0,-1,,0,0,0
71,9.024,0.0000,0.0000,0.0000,0.0000,0.2500,0.5000,0,amorphous,0,20.888,20.0,-1,,0,0,0
72,7.738,0.0000,0.0000,0.0000,0.0000,0.1667,0.3333,1,amorphous,0,18.476,20.0,-1,,0,1,1
73,4.346,0.0000,0.0000,0.0000,0.0000,0.4000,0.8067,1,amorphous,0,24.586,20.0,-1,,0,0,1
74,4.968,0.0000,0.0000,0.0000,0.0000,0.5000,1.1400,0,amorphous,0,28.571,20.0,-1,,0,1,1
75,7.991,0.0000,0.0000,0.0000,0.0000,0.6000,1.0000,1,amorphous,0,22.538,20.0,-1,,0,1,1
76,7.607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,25.251,20.0,-1,,0,0,1
77,6.236,0.0000,0.0000,0.0000,0.0000,0.2500,0.5000,0,amorphous,0,23.124,20.0,-1,,1,0,1
78,6.525,0.0000,0.0000,0.0000,0.0000,0.4000,0.5400,1,amorphous,0,18.752,20.0,-1,,0,0,1
79,7.214,0.0000,0.0000,0.0000,0.0000,0.1667,0.3333,1,amorphous,0,23.697,20.0,-1,,0,0,1
80,5.871,0.0000,0.0000,0.0000,0.0000,0.1667,0.1667,1,amorphous,0,22.850,20.0,-1,,0,1,1
81,8.455,0.0000,0.0000,0.0000,0.0000,0.5000,0.8067,1,amorphous,0,16.629,20.0,-1,,0,0,0
82,7.203,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,12.061,20.0,-1,,0,0,1
83,7.477,0.0875,0.1250,0.1250,0.0000,0.0000,0.0000,0,intermediate,0,8.091,20.0,-1,,0,0,1
84,4.575,0.0389,0.0000,0.1111,0.0000,0.3750,0.6400,1,amorphous,0,6.237,20.0,-1,,1,0,1
85,8.552,0.0000,0.0000,0.0000,0.0000,0.2500,0.3333,0,amorphous,0,13.388,20.0,-1,,0,0,0
86,9.085,0.0000,0.0000,0.0000,0.0000,0.4000,0.5000,1,amorphous,0,6.531,20.0,-1,,0,0,0
87,6.680,0.0000,0.0000,0.0000,0.0000,0.2500,0.5000,0,amorphous,0,-2.762,20.0,-1,,0,1,1
88,5.166,0.0389,0.0000,0.1111,0.0000,0.2857,0.4000,0,amorphous,0,9.101,20.0,-1,,0,1,1
89,5.804,0.0350,0.0000,0.1000,0.0000,0.1111,0.2000,0,amorphous,0,4.695,20.0,-1,,0,0,1
90,8.714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-7.765,20.0,-1,,0,0,0
91,6.623,0.0437,0.0000,0.1250,0.0000,0.1667,0.2500,0,intermediate,0,1.026,20.0,-1,,0,0,1
92,4.159,0.0000,0.0000,0.0000,0.0000,0.3333,0.6400,1,amorphous,0,-13.536,20.0,-1,,0,1,1
93,8.989,0.0000,0.0000,0.0000,0.0000,0.2000,0.3333,0,amorphous,0,-5.756,20.0,-1,,0,0,0
94,5.926,0.0000,0.0000,0.0000,0.0000,0.2857,0.8067,1,amorphous,0,-12.323,20.0,-1,,0,1,1
95,7.420,0.0437,0.0000,0.1250,0.0000,0.1429,0.2500,0,intermediate,0,-15.179,20.0,-1,,0,0,1
96,8.480,0.0000,0.0000,0.0000,0.0000,0.6667,1.0000,1,amorphous,0,-8.657,20.0,-1,,0,0,0
97,7.519,0.0875,0.1250,0.1250,0.0000,0.1429,0.2000,0,intermediate,0,-20.812,20.0,-1,,0,1,1
98,8.768,0.0000,0.0000,0.0000,0.0000,0.2000,0.3333,1,amorphous,0,-11.322,20.0,-1,,0,0,0
99,9.983,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-13.309,20.0,-1,,0,0,0
100,9.227,0.0000,0.0000,0.0000,0.0000,0.1667,0.3333,1,amorphous,0,-16.685,20.0,-1,,0,0,0
101,8.488,0.0000,0.0000,0.0000,0.0000,0.2000,0.3333,1,amorphous,0,-19.609,20.0,-1,,0,0,0
102,4.933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-12.870,20.0,-1,,0,0,1
103,8.107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-19.320,20.0,-1,,0,0,0
104,11.110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-7.591,20.0,-1,,0,0,0
105,7.831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-10.641,20.0,-1,,0,0,1
106,10.092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-14.998,20.0,-1,,0,0,0
107,9.523,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,-18.171,20.0,-1,,0,0,0
108,8.310,0.0000,0.0000,0.0000,0.0000,0.2500,0.3333,1,amorphous,0,-22.299,20.0,-1,,0,0,0
109,4.735,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,1,amorphous,0,-29.348,20.0,-1,,1,0,1
110,5.899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,41.313,20.0,-1,,0,0,1
111,9.467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,45.793,20.0,-1,,0,0,0
112,11.575,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,43.987,20.0,-1,,0,0,0
